# ID RA Dec
080735 333.8736167 0.5419083
080741 334.7957500 0.3540139
080744 334.8281625 0.4933167
080755 334.0422833 0.7059556
080757 333.7052542 0.9216000
080762 333.5173125 1.1084278
080764 333.3078208 1.1807583
080765 334.8751917 1.2044944
080766 334.9031333 1.2136750
080768 52.5537583 -28.6394972
080771 52.0684208 -28.1470583
080772 52.8995917 -28.2408611
080788 53.4046583 -26.9680333
080790 52.8492250 -26.9125056
090019 334.4946375 -0.8624917
090022 333.6242958 -0.0676722
090025 334.1432375 0.0766972
090027 333.3102708 0.5886750
090028 333.9666958 0.5062806
090034 131.0652458 43.3080167
090037 130.0159875 43.4214500
090040 130.5744917 43.4044917
090043 132.1181458 43.4425361
090050 54.5368750 -28.1886167
090054 130.9391042 44.1398500
090056 130.8552458 44.2294889
090059 129.2843875 44.5841944
090064 130.7096667 44.7093833
090068 132.1808125 44.8815222
090071 130.6625708 45.0248083
090072 130.5982667 45.4206611
090073 130.3613000 45.4011611
090091 132.2412625 45.2456944
090097 352.0869417 -0.9595444
090106 35.4926250 -4.2742556
090107 35.7411917 -4.3111833
090109 332.6958792 0.1950667
090111 352.2670917 -0.3415750
090112 352.8424292 -0.3288500
090118 36.2847333 -4.0221056
090128 36.0191833 -3.2260639
090129 36.5571167 -3.1537417
090130 53.6087500 -26.5929167
090147 36.5229250 -5.4943111
090154 332.8642208 1.0612056
090179 35.7962917 -5.3494111
090191 130.3942083 43.6217417
090196 34.8506833 -4.5844417
090199 129.3799208 43.9028639
090201 353.3282708 -0.9507111
090214 53.4988708 -28.1134972
090220 130.2182958 44.2705444
090227 128.8229542 44.4065528
090236 130.5385542 44.5480667
090238 34.6344458 -3.8573500
090244 130.0426042 44.9152417
090245 51.7640125 -26.8804694
090246 131.2134375 44.6897639
090253 131.5145042 44.9026611
090256 352.9219417 0.3391667
090264 130.8393750 45.7383500
090268 53.9049375 -28.8681583
090269 351.4597875 0.6623806
090275 54.0720875 -28.0515111
090298 132.3020542 44.1192389
090352 130.8165500 43.3373250
090356 131.3410833 43.4249583
090387 350.9869458 -0.3807528
090401 52.9310333 -27.7138500
090418 333.7937292 0.5190556
090430 54.6597667 -27.6500639
090431 51.7380875 -27.4506361
090442 129.5958583 44.7851611
090454 36.7282292 -3.4190556
090483 333.2067542 -0.9481306
090486 333.8779000 -0.8293222
090493 131.6595625 43.7448250
090499 131.2069083 43.8822583
090506 334.2107292 -0.3631889
090534 335.1687875 0.8530750
090540 52.2670667 -26.4797056
090544 53.3827125 -26.5602361
090551 131.2811708 45.3810333
090566 130.5676417 45.5467917
090583 130.0306208 43.0813111
090585 333.4647708 -0.8750333
090598 129.2565458 43.4377389
090638 36.6245583 -4.6524806
090705 130.4422958 43.2663722
090746 129.7175792 43.8524972
090757 334.8956667 -0.3499778
090759 334.7434958 -0.0530278
090814 131.8384042 43.3333500
090815 131.9197792 43.4163806
090822 129.9899833 43.5314583
090837 351.7212042 -0.5385722
090841 351.5790917 -0.5317722
090924 334.8050833 0.8736722
090932 351.3917833 0.4289833
090966 333.2357458 1.0306917
090999 36.0373167 -2.7881528
091033 35.5355500 -5.1926778
091034 333.5843750 -0.3166944
091037 36.7292042 -3.8142389
091038 333.7615083 0.8302083
091039 351.6425708 0.2688444
091040 54.4699333 -27.0582056
091166 35.5997792 -5.3217250
091195 333.6965917 -0.9323917
091430 52.8498875 -28.2720083
091433 350.9570000 -0.0841000
091437 35.7548708 -2.8605083
091538 36.3928792 -4.7673639
091576 334.0988167 -0.2129611
091719 35.8960208 -5.2103306
091721 352.5249917 -1.0581583
091722 351.3430875 -0.7578111
091727 334.8872208 0.0798111
091729 334.2185000 0.2453667
091735 333.1621208 0.4206556
091736 333.8904917 0.3403194
091739 36.9930417 -4.0248306
091742 352.6229625 -0.0453694
091745 352.9007292 0.1207083
091746 51.8957417 -27.0260000
091748 52.1228917 -26.8284944
091751 333.7462583 1.2669667
091753 333.8703958 1.2462944
091755 52.4405833 -26.5821222
091820 352.0570208 -1.8801944
091834 352.5193917 -1.7728444
091869 351.9074833 -1.7624528
091889 351.3465417 -1.4743528
091902 351.5891750 -1.5230861
092056 352.6199125 -0.5700917
